LAPORAN KAS BCA DISMA BULAN JANUARI 2026;;;;;;
;;;;;;
TGL;KETERANGAN;SALDO AWAL;KAS MASUK;KAS KELUAR;SALDO AKHIR;
;;;;;;
;; Rp	10.859.879,30 ;;; Rp	10.859.879,30 ;
12-Jan;Uang Belanja Hilman 12Januari'26;;; Rp	1.700.000,00 ; Rp	142.892,30 ;
;Disma Operasional Cost Dari Bank Bri;; Rp	10.000.000,00 ;; Rp	10.142.892,30 ;
;Internet Indosat Hifi ;;; Rp	382.950,00 ; Rp	9.759.942,30 ;
;Uang Lembur Bagus 11Januari'26;;; Rp	50.000,00 ; Rp	9.709.942,30 ;
;Marketing;;; Rp	610.000,00 ; Rp	9.099.942,30 ;
;Pembelian Sagu Tani Liauw Liong Fit@1Kg 10Pack Shopee 12Januari'26;;; Rp	301.320,00 ; Rp	8.798.622,30 ;
;Uang Operasional Rifai 10Januari'25;;; Rp	50.000,00 ; Rp	8.748.622,30 ;
;Pembelian Safira 11Januari'25;;; Rp	410.000,00 ; Rp	8.338.622,30 ;
;Pembelian Safira 12Januari'25;;; Rp	410.000,00 ; Rp	7.928.622,30 ;
;Pembelian Bernardi Corned Beef@290Gr 10Can Shopee 12Januari'26;;; Rp	495.920,00 ; Rp	7.432.702,30 ;
;Pembelian Madu Uray@875Gr 4Btl Shopee 12Januari'26;;; Rp	619.160,00 ; Rp	6.813.542,30 ;
;Pembelian Grapesed Oil Borges@1Liter 5Btl Shopee 12Januari'26;;; Rp	691.009,00 ; Rp	6.122.533,30 ;
;Pembelian Sunlight 4,5L@5Jrg Tokopedia 12Januari'26;;; Rp	444.492,00 ; Rp	5.678.041,30 ;
;Pembelian Diamond Uht Full Cream@1Liter 24Pack Shopee 12Januari'26;;; Rp	492.800,00 ; Rp	5.185.241,30 ;
;Pembelian Pak Yana 11Januari'26;;; Rp	525.000,00 ; Rp	4.660.241,30 ;
;Uang Belanja Hilman 11Januari'26;;; Rp	1.275.000,00 ; Rp	3.385.241,30 ;
;Pembelian Condy Lemon Concentrate@200Ml 5Btl Shopee 12Januari'26;;; Rp	136.200,00 ; Rp	3.249.041,30 ;
;Uang Harian Lalamove Pak Purnomo 12Januari'26;;; Rp	250.000,00 ; Rp	2.999.041,30 ;
;Uang Harian Pak Ifan 12Januari'26;;; Rp	150.000,00 ; Rp	2.849.041,30 ;
;Pembelian Pak Yana 12Januari'26;;; Rp	525.000,00 ; Rp	2.324.041,30 ;
;Uang Belanja Bagus 12Januari'26;;; Rp	400.000,00 ; Rp	1.924.041,30 ;
;Pembelian Bumbu Mala Hot Pot Cap Kaki Jempol@1Kg 5Pack Shopee 12Januari'26;;; Rp	572.844,00 ; Rp	1.351.197,30 ;
;Pembelian Delta Adib 12Januari'26;;; Rp	280.000,00 ; Rp	1.071.197,30 ;
;Disma Operasional Cost Dari Bank Bri;; Rp	40.000.000,00 ;; Rp	41.071.197,30 ;
;Uang Belanja Hilman 12Januari'26;;; Rp	2.851.000,00 ; Rp	38.220.197,30 ;
;Pembelian Lestari 13Januari'25;;; Rp	1.870.000,00 ; Rp	36.350.197,30 ;
;Uang Belanja Hilman 13Januari'26;;; Rp	9.300.000,00 ; Rp	27.050.197,30 ;
;Uang Lembur Bagus 12Januari'26;;; Rp	50.000,00 ; Rp	27.000.197,30 ;
;Uang Lembur Sifa 12Januari'26;;; Rp	50.000,00 ; Rp	26.950.197,30 ;
13-Jan;Tagihan Kyo Jatiwaringin 17November-14Desember'25 & Tagihan Kyo Astha 24November-14Desember'25;; Rp	5.587.000,00 ;; Rp	32.537.197,30 ;
;Marketing;;; Rp	100.000,00 ; Rp	32.437.197,30 ;
;Biaya Bank;;; Rp	2.500,00 ; Rp	32.434.697,30 ;
;Pembelian Kentang Aviko Shoestring@2,5Kg 4Pack Shopee 13Januari'26;;; Rp	256.800,00 ; Rp	32.177.897,30 ;
;Pembelian Pak Yana 13Januari'26;;; Rp	525.000,00 ; Rp	31.652.897,30 ;
