REKAP BELANJA DISMA JUNI 2026,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
NO,TANGGAL,NAMA BARANG,QUANTITY,,HARGA TOTAL,HARGA SATUAN,SUPPLIER,PAYMENT,TGL BAYAR,INV,,,,,,,
119,03/06/26,TOMAT MERAH,  1.00 ,Kg," Rp 15,000 "," Rp 15,000 ",,,,,"  252,000 ","  258,000 ","  -6,000 ",UANG RIFAI√  ,,,
120,03/06/26,JAMUR CHAMPIGNON,  10.00 ,Kg," Rp 400,000 "," Rp 40,000 ",,,,,,,,,,,
121,03/06/26,HEAD LETTUCE,  2.00 ,Kg," Rp 60,000 "," Rp 30,000 ",,,,,,,,,,,
122,03/06/26,TOMATO BEEF,  1.00 ,Kg," Rp 45,000 "," Rp 45,000 ",,,,,PAK IFAN,"  100,000 ",BENSIN,,,,
123,03/06/26,DAUN BAWANG,  3.00 ,Kg," Rp 48,000 "," Rp 16,000 ",,,,,,"  102,000 ",E-TOLL,,,,
124,03/06/26,BAWANG BOMBAY ,  76.00 ,Kg," Rp 1,160,000 "," Rp 15,263 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
125,03/06/26,BAWANG PUTIH KUPAS,  11.00 ,Kg," Rp 330,000 "," Rp 30,000 ",TOKO ERNI,BAGJA CASH,,,"  202,000 ","  202,000 ",  - ,,,,
126,03/06/26,DELMONTE CHILI EXTRA HOT SACHET @8GR @24 PCS ,  20.00 ,Pack," Rp 140,000 "," Rp 7,000 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
127,03/06/26,EBI DAGING TANPA KULIT,  0.40 ,Kg," Rp 42,000 "," Rp 105,000 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
128,03/06/26,KACANG MEDE ,  0.75 ,Kg," Rp 128,000 "," Rp 170,667 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
129,03/06/26,MAIZENAKU @1 KG,  2.00 ,Pack," Rp 44,000 "," Rp 22,000 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
130,03/06/26,FERMIPAN YEAST @4X11GR,  1.00 ,Pack," Rp 20,000 "," Rp 20,000 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
131,03/06/26,TEPUNG CAKRA KEMBAR @25KG,  1.00 ,Krg," Rp 245,000 "," Rp 245,000 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
132,03/06/26,TEPUNG SEGITIGA BIRU @25 KG ,  1.00 ,Krg," Rp 235,000 "," Rp 235,000 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
133,03/06/26,KENTANG DIENG AL (1-4 PCS),  23.00 ,Kg," Rp 414,000 "," Rp 18,000 ",SUMINTO,TRANSFER,,,,,,,,,
134,03/06/26,BAWANG MERAH KUPAS,  105.00 ,Kg," Rp 5,775,000 "," Rp 55,000 ",KEVIN,TRANSFER,06-Jun,,,,,,,,
135,03/06/26,DAUN BAWANG ,  100.00 ,Kg," Rp 1,250,000 "," Rp 12,500 ",AA DADI,TRANSFER,05-Jun,,,,,,,,
136,03/06/26,CABAI MERAH KERITING PETIK,  122.00 ,Kg," Rp 6,710,000 "," Rp 55,000 ",PESEK,TRANSFER,09-Jun,,,,,,,,
137,03/06/26,JAMUR CHAMPIGNON,  6.00 ,Kg," Rp 216,000 "," Rp 36,000 ",DELTAFOOD,TRANSFER,03-Jun,,,,,,,,
138,03/06/26,TELUR AYAM NEGERI (OMEGA) ,  15.00 ,Kg," Rp 405,000 "," Rp 27,000 ",SAFIRA,TRANSFER,03-Jun,,,,,,,,
139,03/06/26,BONELESS PAHA AYAM NO SKIN,  25.00 ,Kg," Rp 1,075,000 "," Rp 43,000 ",LESTARI,TRANSFER,02-Jun,,,,,,,,
